,CIK,Company Name,Form Type,Date Filed,Filename,URL
1155,36270,M&T BANK CORP,10-K,2017-02-22,edgar/data/36270/0001564590-17-002016.txt,https://www.sec.gov/Archives/edgar/data/36270/000156459017002016/mtb-10k_20161231.htm
1156,37785,FMC CORP,10-K,2017-02-28,edgar/data/37785/0000037785-17-000011.txt,https://www.sec.gov/Archives/edgar/data/37785/000003778517000011/fmc201610k.htm
1157,37996,FORD MOTOR CO,10-K,2017-02-09,edgar/data/37996/0000037996-17-000013.txt,https://www.sec.gov/Archives/edgar/data/37996/000003799617000013/f1231201610-k.htm
1158,39911,GAP INC,10-K,2017-03-20,edgar/data/39911/0000039911-17-000058.txt,https://www.sec.gov/Archives/edgar/data/39911/000003991117000058/fy201610-k.htm
1159,40533,GENERAL DYNAMICS CORP,10-K,2017-02-06,edgar/data/40533/0000040533-17-000006.txt,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/gd-2016123110k.htm
1160,40545,GENERAL ELECTRIC CO,10-K,2017-02-24,edgar/data/40545/0000040545-17-000010.txt,https://www.sec.gov/Archives/edgar/data/40545/000004054517000010/ge10k2016.htm
1161,40987,GENUINE PARTS CO,10-K,2017-02-27,edgar/data/40987/0000040987-17-000007.txt,https://www.sec.gov/Archives/edgar/data/40987/000004098717000007/gpc-12312016x10k.htm
1162,4281,Arconic Inc.,10-K,2017-02-28,edgar/data/4281/0001193125-17-062657.txt,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/d293282d10k.htm
1163,4447,HESS CORP,10-K,2017-02-23,edgar/data/4447/0001564590-17-002225.txt,https://www.sec.gov/Archives/edgar/data/4447/000156459017002225/hes-10k_20161231.htm
1164,45012,HALLIBURTON CO,10-K,2017-02-07,edgar/data/45012/0000045012-17-000047.txt,https://www.sec.gov/Archives/edgar/data/45012/000004501217000047/hal_12312016-10k.htm
1165,46080,HASBRO INC,10-K,2017-02-22,edgar/data/46080/0001193125-17-052143.txt,https://www.sec.gov/Archives/edgar/data/46080/000119312517052143/d317222d10k.htm
1166,47111,HERSHEY CO,10-K,2017-02-21,edgar/data/47111/0000047111-17-000005.txt,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/a2016_formx10-kq4.htm
1167,48039,HollyFrontier Corp,10-K,2017-02-22,edgar/data/48039/0000048039-17-000015.txt,https://www.sec.gov/Archives/edgar/data/48039/000004803917000015/hfc12-31x201610k.htm
1168,4904,AMERICAN ELECTRIC POWER CO INC,10-K,2017-02-28,edgar/data/4904/0000004904-17-000019.txt,https://www.sec.gov/Archives/edgar/data/4904/000000490417000019/aep10klegal20164q.htm
1169,49071,HUMANA INC,10-K,2017-02-17,edgar/data/49071/0000049071-17-000019.txt,https://www.sec.gov/Archives/edgar/data/49071/000004907117000019/hum-20161231x10k.htm
1170,49196,HUNTINGTON BANCSHARES INC/MD,10-K,2017-02-22,edgar/data/49196/0000049196-17-000009.txt,https://www.sec.gov/Archives/edgar/data/49196/000004919617000009/hban20161231_10k.htm
1171,4962,AMERICAN EXPRESS CO,10-K,2017-02-17,edgar/data/4962/0001193125-17-047588.txt,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/d321397d10k.htm
1172,4977,AFLAC INC,10-K,2017-02-24,edgar/data/4977/0000004977-17-000064.txt,https://www.sec.gov/Archives/edgar/data/4977/000000497717000064/afl12311610k.htm
